SuborticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,NAVR,NAVR_corrected,correction,population_size,d_icv_thresholded
SCZ_case_vs_controls,Laccumb,-0.19,0.05,-0.29,-0.08,,,0.000508,,0.2720665413607328,0.0228716194170006,0.0840662703418397,566,-0.19
SCZ_case_vs_controls,Lamyg,-0.3,0.06,-0.43,-0.18,,,1.53e-06,,0.2272955394058503,0.0191078882631864,0.0840662703418397,566,-0.3
SCZ_case_vs_controls,Lcaud,0.01,0.07,-0.12,0.15,,,0.85,,0.1032435479466564,0.0086793000127343,0.0840662703418397,566,0.01
SCZ_case_vs_controls,Lhippo,-0.43,0.06,-0.55,-0.32,,,1.83e-13,,0.156646722485764,0.0131687057206513,0.0840662703418397,566,-0.43
SCZ_case_vs_controls,Lpal,0.19,0.09,0.02,0.36,,,1.28e-09,,0.2091429805492201,0.0175818703429488,0.0840662703418397,566,0.19
SCZ_case_vs_controls,Lput,0.05,0.08,-0.11,0.22,,,0.0317,,0.1359332660967781,0.0114274026961409,0.0840662703418397,566,0.05
SCZ_case_vs_controls,Lthal,-0.3,0.07,-0.44,-0.16,,,0.514,,0.1594777173659569,0.013406696901586,0.0840662703418397,566,-0.3
SCZ_case_vs_controls,LLatVent,0.35,0.06,0.24,0.47,,,3.87e-05,,0.011147108504968,0.0009370958371084,0.0840662703418397,566,0.35
SCZ_case_vs_controls,Raccumb,-0.25,0.06,-0.36,-0.14,,,1.17e-05,,0.2297485905574407,0.0193141071244584,0.0840662703418397,566,-0.25
SCZ_case_vs_controls,Ramyg,-0.27,0.05,-0.37,-0.16,,,3.21e-07,,0.2007475491744533,0.0168760977393613,0.0840662703418397,566,-0.27
SCZ_case_vs_controls,Rcaud,0.03,0.07,-0.11,0.17,,,0.639,,0.1461734363689446,0.0122882556185874,0.0840662703418397,566,0.03
SCZ_case_vs_controls,Rhippo,-0.43,0.06,-0.55,-0.31,,,3.99e-13,,0.1266388607779865,0.0106460567059448,0.0840662703418397,566,-0.43
SCZ_case_vs_controls,Rpal,0.21,0.08,0.06,0.37,,,0.00667,,0.2326402534573403,0.0195571984395388,0.0840662703418397,566,0.21
SCZ_case_vs_controls,Rput,0.1,0.09,-0.07,0.27,,,0.237,,0.1718404256047445,0.0144459836745452,0.0840662703418397,566,0.1
SCZ_case_vs_controls,Rthal,-0.27,0.06,-0.38,-0.15,,,8.57e-06,,0.1615252968034185,0.013578829268122,0.0840662703418397,566,-0.27
SCZ_case_vs_controls,RLatVent,0.34,0.06,0.23,0.45,,,2.43e-09,,0.0126176739238002,0.0010607207871633,0.0840662703418397,566,0.34
