SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,NAVR,NAVR_corrected,correction,population_size,d_icv_thresholded
allepi_subvol,Laccumb,-0.017,0.079,-0.172,0.138,1707,2136,0.833,0.854,0.2720665413607328,0.0228716194170006,0.0840662703418397,566,
allepi_subvol,Lamyg,0.102,0.07,-0.036,0.24,1717,2124,0.147,0.179,0.2272955394058503,0.0191078882631864,0.0840662703418397,566,0.102
allepi_subvol,Lcaud,-0.121,0.05,-0.22,-0.023,1724,2135,0.0156,0.0279,0.1032435479466564,0.0086793000127343,0.0840662703418397,566,-0.121
allepi_subvol,Lhippo,-0.353,0.069,-0.488,-0.218,1707,2125,3.04e-07,1.82e-06,0.156646722485764,0.0131687057206513,0.0840662703418397,566,-0.353
allepi_subvol,Lpal,-0.172,0.081,-0.331,-0.012,1609,1991,0.0353,0.0547,0.2091429805492201,0.0175818703429488,0.0840662703418397,566,-0.172
allepi_subvol,Lput,-0.247,0.063,-0.37,-0.124,1636,2075,8.3e-05,0.000291,0.1359332660967781,0.0114274026961409,0.0840662703418397,566,-0.247
allepi_subvol,Lthal,-0.358,0.074,-0.503,-0.213,1687,2104,1.31e-06,6.88e-06,0.1594777173659569,0.013406696901586,0.0840662703418397,566,-0.358
allepi_subvol,LLatVent,0.288,0.041,0.208,0.369,1722,2135,2.14e-12,3e-11,0.011147108504968,0.0009370958371084,0.0840662703418397,566,0.288
allepi_subvol,Raccumb,-0.064,0.093,-0.246,0.119,1702,2137,0.494,0.539,0.2297485905574407,0.0193141071244584,0.0840662703418397,566,-0.064
allepi_subvol,Ramyg,0.11,0.06,-0.008,0.228,1693,2108,0.0676,0.0962,0.2007475491744533,0.0168760977393613,0.0840662703418397,566,0.11
allepi_subvol,Rcaud,-0.08,0.054,-0.186,0.025,1725,2137,0.136,0.174,0.1461734363689446,0.0122882556185874,0.0840662703418397,566,-0.08
allepi_subvol,Rhippo,-0.336,0.054,-0.443,-0.23,1719,2129,6.63e-10,7.96e-09,0.1266388607779865,0.0106460567059448,0.0840662703418397,566,-0.336
allepi_subvol,Rpal,-0.316,0.055,-0.424,-0.209,1710,2112,8.32e-09,6.99e-08,0.2326402534573403,0.0195571984395388,0.0840662703418397,566,-0.316
allepi_subvol,Rput,-0.239,0.075,-0.386,-0.091,1690,2127,0.00153,0.00389,0.1718404256047445,0.0144459836745452,0.0840662703418397,566,-0.239
allepi_subvol,Rthal,-0.368,0.049,-0.465,-0.272,1716,2137,7.67e-14,1.29e-12,0.1615252968034185,0.013578829268122,0.0840662703418397,566,-0.368
allepi_subvol,RLatVent,0.268,0.034,0.201,0.334,1722,2137,3.73e-15,7.83e-14,0.0126176739238002,0.0010607207871633,0.0840662703418397,566,0.268
