Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,NAVR,NAVRcorrected,correction,populationsize,NAVR_corrected,Cohen_d_thresholded
Lamyg,0.001,-0.441,-126.03,19.43,-164.18,-87.88,-8.63,256,492,748,subcortical_volume,HY3-vs-PD,Lamyg,0.2272955394058503,0.0191078882631864,0.0840662703418397,566,0.016621496009459988,-0.441
Ramyg,0.001,-0.316,-98.12,20.91,-139.18,-57.06,-6.28,257,491,748,subcortical_volume,HY3-vs-PD,Ramyg,0.2007475491744533,0.0168760977393613,0.0840662703418397,566,0.014602235550298446,-0.316
Lcaud,0.001,-0.221,-128.51,39.79,-206.64,-50.39,-3.72,251,494,745,subcortical_volume,HY3-vs-PD,Lcaud,0.1032435479466564,0.0086793000127343,0.0840662703418397,566,0.007565101858854101,-0.221
Rcaud,0.01,-0.17,-103.46,39.86,-181.73,-25.2,-2.97,255,500,755,subcortical_volume,HY3-vs-PD,Rcaud,0.1461734363689446,0.0122882556185874,0.0840662703418397,566,0.0106892603156511,-0.17
Lpal,0.008,-0.169,-59.24,22.43,-103.28,-15.19,-3.97,239,445,684,subcortical_volume,HY3-vs-PD,Lpal,0.2091429805492201,0.0175818703429488,0.0840662703418397,566,0.01548145798822445,-0.169
Rpal,0.02,-0.152,-48.34,20.66,-88.91,-7.77,-3.22,249,481,730,subcortical_volume,HY3-vs-PD,Rpal,0.2326402534573403,0.0195571984395388,0.0840662703418397,566,0.017315947452278154,-0.152
Lhippo,0.001,-0.24,-133.03,40.25,-212.07,-54.0,-3.43,249,477,726,subcortical_volume,HY3-vs-PD,Lhippo,0.156646722485764,0.0131687057206513,0.0840662703418397,566,0.01140191587607988,-0.24
Rhippo,0.001,-0.283,-170.77,42.26,-253.74,-87.8,-4.27,255,487,742,subcortical_volume,HY3-vs-PD,Rhippo,0.1266388607779865,0.0106460567059448,0.0840662703418397,566,0.009304389589673091,-0.283
LLatVent,0.032,0.158,1426.0,664.17,122.04,2729.96,9.7,257,498,755,subcortical_volume,HY3-vs-PD,LLatVent,0.011147108504968,0.0009370958371084,0.0840662703418397,566,0.0008524406927340048,0.158
RLatVent,0.023,0.166,1356.27,597.4,183.4,2529.14,10.06,257,499,756,subcortical_volume,HY3-vs-PD,RLatVent,0.0126176739238002,0.0010607207871633,0.0840662703418397,566,0.0009593039843437175,0.166
Laccumb,0.023,-0.15,-23.16,10.13,-43.05,-3.27,-4.98,256,492,748,subcortical_volume,HY3-vs-PD,Laccumb,0.2720665413607328,0.0228716194170006,0.0840662703418397,566,0.019895475922474735,-0.15
Raccumb,0.013,-0.157,-23.31,9.38,-41.73,-4.89,-4.83,251,490,741,subcortical_volume,HY3-vs-PD,Raccumb,0.2297485905574407,0.0193141071244584,0.0840662703418397,566,0.016722814627812756,-0.157
Lput,0.001,-0.267,-230.11,55.72,-339.53,-120.69,-4.67,242,450,692,subcortical_volume,HY3-vs-PD,Lput,0.1359332660967781,0.0114274026961409,0.0840662703418397,566,0.010089913363850737,-0.267
Rput,0.001,-0.239,-195.14,51.77,-296.78,-93.5,-4.16,249,473,722,subcortical_volume,HY3-vs-PD,Rput,0.1718404256047445,0.0144459836745452,0.0840662703418397,566,0.012746417221246928,-0.239
Lthal,0.98,0.002,1.73,69.11,-133.96,137.42,0.02,249,478,727,subcortical_volume,HY3-vs-PD,Lthal,0.1594777173659569,0.013406696901586,0.0840662703418397,566,0.011709222374058569,
Rthal,0.185,-0.088,-80.69,60.84,-200.16,38.77,-1.23,250,487,737,subcortical_volume,HY3-vs-PD,Rthal,0.1615252968034185,0.013578829268122,0.0840662703418397,566,0.011899721558703266,-0.088
