Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,NAVR,NAVRcorrected,correction,populationsize,NAVR_corrected,Cohen_d_thresholded
Lamyg,0.199,-0.064,-17.14,13.35,-43.33,9.06,-1.15,428,834,1262,subcortical_volume,HY1-vs-PD,Lamyg,0.2272955394058503,0.0191078882631864,0.0840662703418397,566,0.012821926108390504,-0.064
Ramyg,0.901,0.006,1.68,13.5,-24.79,28.16,0.11,430,827,1257,subcortical_volume,HY1-vs-PD,Ramyg,0.2007475491744533,0.0168760977393613,0.0840662703418397,566,0.011248523852158951,
Lcaud,0.306,0.054,25.92,25.3,-23.72,75.55,0.76,430,835,1265,subcortical_volume,HY1-vs-PD,Lcaud,0.1032435479466564,0.0086793000127343,0.0840662703418397,566,0.005805607264349605,0.054
Rcaud,0.157,0.072,36.6,25.85,-14.12,87.33,1.05,432,844,1276,subcortical_volume,HY1-vs-PD,Rcaud,0.1461734363689446,0.0122882556185874,0.0840662703418397,566,0.008216400487228413,0.072
Lpal,0.396,-0.041,-12.66,14.91,-41.91,16.59,-0.86,418,762,1180,subcortical_volume,HY1-vs-PD,Lpal,0.2091429805492201,0.0175818703429488,0.0840662703418397,566,0.011849888596642828,-0.041
Rpal,0.188,-0.068,-18.17,13.8,-45.25,8.9,-1.21,423,823,1246,subcortical_volume,HY1-vs-PD,Rpal,0.2326402534573403,0.0195571984395388,0.0840662703418397,566,0.013223747123126604,-0.068
Lhippo,0.185,0.069,36.79,27.76,-17.67,91.24,0.93,428,819,1247,subcortical_volume,HY1-vs-PD,Lhippo,0.156646722485764,0.0131687057206513,0.0840662703418397,566,0.00877053267855593,0.069
Rhippo,0.225,0.062,34.19,28.13,-21.01,89.38,0.84,429,831,1260,subcortical_volume,HY1-vs-PD,Rhippo,0.1266388607779865,0.0106460567059448,0.0840662703418397,566,0.00714664436404043,0.062
LLatVent,0.22,0.069,494.0,402.53,-295.73,1283.73,4.22,434,840,1274,subcortical_volume,HY1-vs-PD,LLatVent,0.011147108504968,0.0009370958371084,0.0840662703418397,566,0.000649009749010191,0.069
RLatVent,0.055,0.109,725.13,376.92,-14.35,1464.62,6.74,433,841,1274,subcortical_volume,HY1-vs-PD,RLatVent,0.0126176739238002,0.0010607207871633,0.0840662703418397,566,0.000733077888568702,0.109
Laccumb,0.907,0.006,0.83,7.08,-13.06,14.72,0.17,434,832,1266,subcortical_volume,HY1-vs-PD,Laccumb,0.2720665413607328,0.0228716194170006,0.0840662703418397,566,0.015317061422208244,
Raccumb,0.916,0.005,0.71,6.67,-12.39,13.8,0.14,432,824,1256,subcortical_volume,HY1-vs-PD,Raccumb,0.2297485905574407,0.0193141071244584,0.0840662703418397,566,0.012873544466734386,
Lput,0.146,-0.077,-59.36,40.79,-139.39,20.68,-1.17,422,763,1185,subcortical_volume,HY1-vs-PD,Lput,0.1359332660967781,0.0114274026961409,0.0840662703418397,566,0.007698790838466691,-0.077
Rput,0.157,-0.074,-55.82,39.41,-133.14,21.49,-1.15,424,814,1238,subcortical_volume,HY1-vs-PD,Rput,0.1718404256047445,0.0144459836745452,0.0840662703418397,566,0.00981544740391659,-0.074
Lthal,0.002,0.151,153.72,49.27,57.04,250.39,2.15,417,809,1226,subcortical_volume,HY1-vs-PD,Lthal,0.1594777173659569,0.013406696901586,0.0840662703418397,566,0.008985551424415353,0.151
Rthal,0.094,0.086,68.45,40.83,-11.66,148.56,1.03,420,815,1235,subcortical_volume,HY1-vs-PD,Rthal,0.1615252968034185,0.013578829268122,0.0840662703418397,566,0.009192572517949308,0.086
